"y","displacement","horsepower","weight","acceleration"
16,304,150,3433,12
14,454,220,4354,9
15,390,190,3850,8.5
14,340,160,3609,8
15,400,150,3761,9.5
24,113,95,2372,15
27,97,88,2130,14.5
26,97,46,1835,20.5
9,304,193,4732,18.5
19,232,100,2634,13
19,250,88,3302,15.5
14,350,165,4209,12
12,383,180,4955,11.5
13,400,175,5140,12
19,250,100,3282,15
23,122,86,2220,14
28,116,90,2123,14
30,79,70,2074,19.5
14,351,153,4129,13
12,350,160,4456,13.5
18,121,112,2933,14.5
22,121,76,2511,18
21,120,87,2979,19.5
22,122,86,2395,16
23,120,97,2506,14.5
27,97,88,2100,16.5
18,225,105,3121,16.5
16,250,100,3278,18
23,198,95,2904,16
13,360,170,4654,13
22,108,94,2379,16.5
15,350,145,4082,13
20,198,95,3102,16.5
15,250,100,3336,17
31,79,67,1950,19
16,302,140,4141,14
13,350,150,4699,14.5
14,318,150,4457,13.5
29,98,83,2219,16.5
31,76,52,1649,16.5
28,90,75,2125,14.5
24,120,97,2489,15
19,225,95,3264,16
18,250,105,3459,16
15,258,110,3730,19
20,262,110,3221,13.5
23,140,78,2592,18.5
24,134,96,2702,13.5
23,115,95,2694,15
25,121,115,2671,13.5
25,116,81,2220,16.9
26,98,79,2255,17.7
27,101,83,2202,15.3
22,225,100,3233,15.4
18,250,78,3574,21
32,85,70,1990,17
28,97,75,2155,16.4
20,130,102,3150,15.7
16.5,168,120,3820,16.7
13,302,130,3870,15
36,79,58,1825,18.6
33.5,85,70,1945,16.8
17,260,110,4060,19
19,225,100,3630,17.7
15.5,350,170,4165,11.4
15.5,400,190,4325,12.2
16,351,149,4335,14.5
29,97,78,1940,14.5
26,97,75,2265,18.2
25.5,140,89,2755,15.8
30,97,67,1985,16.4
36.1,98,66,1800,14.4
20.2,302,139,3570,12.8
25.1,140,88,2720,15.4
20.5,225,100,3430,17.2
20.6,231,105,3380,15.8
20.8,200,85,3070,16.7
18.1,258,120,3410,15.1
21.1,134,95,2515,14.8
23.2,156,105,2745,16.7
20.3,131,103,2830,15.9
21.6,121,115,2795,15.7
16.2,163,133,3410,15.8
19.8,200,85,2990,18.2
22.3,140,88,2890,17.3
16.5,351,138,3955,13.2
18.5,360,150,3940,13
34.1,86,65,1975,15.2
27.4,121,80,2670,15
23,350,125,3900,17.4
34.5,105,70,2150,14.9
28.4,151,90,2670,16
28.8,173,115,2595,11.3
26.8,173,115,2700,12.9
33.5,151,90,2556,13.2
38.1,89,60,1968,18.8
32.1,98,70,2120,15.5
26.4,140,88,2870,18.1
24.3,151,90,3003,20.1
32.2,108,75,2265,15.2
30,146,67,3250,21.8
32.7,168,132,2910,11.4
26.6,151,84,2635,16.4
30,135,84,2385,12.9
39.1,79,58,1755,16.9
33,105,74,2190,14.2
32.4,108,75,2350,16.8
30.7,145,76,3160,19.6
22.4,231,110,3415,15.8
36,98,70,2125,17.3
36,107,75,2205,14.5
34,108,70,2245,16.9
38,262,85,3015,17
22,232,112,2835,14.7
27,151,90,2950,17.3
27,140,86,2790,15.6
44,97,52,2130,24.6
32,135,84,2295,11.6
